epoch,lr,context_dropout,last_y_mask_prob,train_Loss,val_Loss,train_NLL,val_NLL,train_Objective,val_Objective,train_Accuracy,val_Accuracy,train_Macro_F1,val_Macro_F1,train_AUC,val_AUC,train_QWK,val_QWK,train_ChgAcc,val_ChgAcc,train_PersistenceRate,val_PersistenceRate
1,0.0002,0.6,0.55,0.9527726908674832,0.8090478299388753,0.9527726908674832,0.8090478299388753,0.9527726908674832,0.8090478299388753,0.5330587966140471,0.6566125290023201,0.5212320460457386,0.4209986583838334,0.7124237038418627,0.6664959397176614,0.3872262010898553,0.22645984231780014,0.36325678496868474,0.40298507462686567,0.5346602608098833,0.6577726218097448
2,0.0002,0.5879310344827586,0.5344827586206897,0.7680950788523234,0.7296307089710456,0.7680950788523234,0.7296307089710456,0.7680950788523234,0.7296307089710456,0.6754747197437657,0.6890951276102089,0.6831043680649985,0.44473557146512227,0.8125715753788961,0.6869780224635201,0.6599082884742801,0.3056633908335141,0.3924843423799583,0.3880597014925373,0.6752459391443606,0.6937354988399071
3,0.0002,0.5758620689655172,0.5189655172413794,0.6786315334085958,0.6938097727271078,0.6786315334085958,0.6938097727271078,0.6786315334085958,0.6938097727271078,0.7173415694349119,0.7064965197215777,0.7274441684346574,0.4661500453768915,0.8442106130415964,0.7103939921678829,0.7143366344940412,0.35513277085972417,0.40292275574112735,0.3880597014925373,0.7152825440402654,0.7134570765661253
4,0.0002,0.5637931034482758,0.503448275862069,0.6222584670453453,0.6656569625551352,0.6222584670453453,0.6656569625551352,0.6222584670453453,0.6656569625551352,0.7401052390757263,0.722737819025522,0.7522956057246812,0.44942763517058976,0.8674003792221913,0.7298266874205627,0.7438001954852317,0.35397061743101055,0.3862212943632568,0.3880597014925373,0.7419354838709677,0.7308584686774942
5,0.0002,0.5517241379310345,0.48793103448275865,0.5814749424366459,0.6304559671685204,0.5814749424366459,0.6304559671685204,0.5814749424366459,0.6304559671685204,0.7573781743308168,0.7412993039443155,0.7700917443979423,0.45296451741617033,0.882354129744603,0.759351315472088,0.7583158740161775,0.39621812467368667,0.3987473903966597,0.3582089552238806,0.7580645161290323,0.7563805104408353
6,0.0002,0.5396551724137931,0.47241379310344833,0.5500985465464835,0.599639692812674,0.5500985465464835,0.599639692812674,0.5500985465464835,0.599639692812674,0.777739647677877,0.7633410672853829,0.791099799401166,0.47623481660548544,0.8944318435626065,0.7808437791392645,0.7773734786707865,0.44489586496476474,0.3966597077244259,0.373134328358209,0.7788835506749028,0.7761020881670534
7,0.0002,0.5275862068965517,0.45689655172413796,0.5174632889131909,0.5686741264541298,0.5174632889131909,0.5686741264541298,0.5174632889131909,0.5686741264541298,0.7956989247311828,0.7842227378190255,0.8081851019923535,0.49567099567099565,0.9060764399108915,0.7978405119599895,0.7949878920911645,0.49364422476476755,0.3778705636743215,0.3582089552238806,0.7989018531228552,0.7993039443155452
8,0.0002,0.5155172413793103,0.4413793103448276,0.5016761312179832,0.5467880421475855,0.5016761312179832,0.5467880421475855,0.5016761312179832,0.5467880421475855,0.7994738046213681,0.7935034802784223,0.8122124622177612,0.505586353944563,0.9114215378849259,0.8080747875032226,0.7972734907751685,0.5067115332886776,0.3674321503131524,0.3880597014925373,0.8042781972088767,0.8039443155452436
9,0.0002,0.503448275862069,0.42586206896551726,0.48220504644778356,0.5151537758430029,0.48220504644778356,0.5151537758430029,0.48220504644778356,0.5151537758430029,0.8118279569892473,0.820185614849188,0.824254148817178,0.5317392061966353,0.9191758774814822,0.8289623807378349,0.8104697104976409,0.5868845494251563,0.33402922755741127,0.31343283582089554,0.8213223518645619,0.8433874709976799
10,0.0002,0.49137931034482757,0.41034482758620694,0.4658140804191608,0.4903967740779133,0.4658140804191608,0.4903967740779133,0.4658140804191608,0.4903967740779133,0.8161747883779455,0.8213457076566125,0.8286919215835922,0.5328390943069842,0.9244503099830846,0.8454731570841082,0.81366369611734,0.5801474227072644,0.3277661795407098,0.29850746268656714,0.8257835735529627,0.8480278422273781
11,0.0002,0.47931034482758617,0.39482758620689656,0.4379295726453541,0.4707563885956519,0.4379295726453541,0.4707563885956519,0.4379295726453541,0.4707563885956519,0.823495767558911,0.8387470997679815,0.8349789065969541,0.5485235967580695,0.9333790450359892,0.8499317647878613,0.8204676266247517,0.6371285568921969,0.35281837160751567,0.31343283582089554,0.8316174788377946,0.8642691415313225
12,0.0002,0.4672413793103448,0.37931034482758624,0.43024390078850944,0.45492922257104773,0.43024390078850944,0.45492922257104773,0.43024390078850944,0.45492922257104773,0.8340196751315488,0.8468677494199536,0.8448421770302805,0.5564472282029534,0.9366142769095348,0.8608240862111586,0.8290641668406434,0.6544983659123143,0.3235908141962422,0.26865671641791045,0.8452299245024022,0.8781902552204176
13,0.0002,0.45517241379310347,0.36379310344827587,0.40574299755971344,0.4392751234036864,0.40574299755971344,0.4392751234036864,0.40574299755971344,0.4392751234036864,0.8460306566003203,0.8561484918793504,0.8557091025734467,0.5656469098848281,0.945231630975742,0.8649311733794635,0.8393017265442041,0.6760747910340135,0.3465553235908142,0.23880597014925373,0.8550674902768245,0.8921113689095128
14,0.0002,0.44310344827586207,0.34827586206896555,0.4004615927023463,0.4294378674500503,0.4004615927023463,0.4294378674500503,0.4004615927023463,0.4294378674500503,0.848318462594372,0.8596287703016241,0.858519422064515,0.5681994840781741,0.9467524607971773,0.8710291693885455,0.8447099852579072,0.6881299619857115,0.3089770354906054,0.22388059701492538,0.8620452985586822,0.8979118329466357
15,0.0002,0.43103448275862066,0.33275862068965517,0.4026508496503649,0.42420322166241514,0.4026508496503649,0.42420322166241514,0.4026508496503649,0.42420322166241514,0.8467169983985358,0.8723897911832946,0.8569631280376333,0.5789838883569681,0.9455891995795814,0.8663928632038594,0.8431839862202828,0.7134846570351312,0.2881002087682672,0.26865671641791045,0.8627316403568978,0.9048723897911833
